biosample	DHS	ATAC	H3K27ac	default_accessibility_feature	HiC_file	HiC_type	HiC_resolution	alt_TSS	alt_genes	H3K4me1	H3K4me3	H3K27me3	H3K36me3	H3K9me3	supplementary_features
K562	../ENCODE/K562_DNase_1.bam,../ENCODE/K562_DNase_2.bam		../ENCODE/K562_H3K27ac_1.bam,../ENCODE/K562_H3K27ac_2.bam	DHS	../ENCODE/K562_HiC.hic	hic	5000			../ENCODE/K562_H3K4me1_1.bam,../ENCODE/K562_H3K4me1_2.bam	../ENCODE/K562_H3K4me3_1.bam,../ENCODE/K562_H3K4me3_2.bam	../ENCODE/K562_H3K27me3_1.bam,../ENCODE/K562_H3K27me3_2.bam	../ENCODE/K562_H3K36me3_1.bam,../ENCODE/K562_H3K36me3_2.bam	../ENCODE/K562_H3K9me3_1.bam,../ENCODE/K562_H3K9me3_2.bam	config/supplementary_features/K562.tsv
GM12878	../ENCODE/GM12878_DNase_1.bam,../ENCODE/GM12878_DNase_2.bam		../ENCODE/GM12878_H3K27ac_1.bam,../ENCODE/GM12878_H3K27ac_2.bam	DHS	../ENCODE/GM12878_HiC.hic	hic	5000			../ENCODE/GM12878_H3K4me1_1.bam,../ENCODE/GM12878_H3K4me1_2.bam	../ENCODE/GM12878_H3K4me3_1.bam,../ENCODE/GM12878_H3K4me3_2.bam	../ENCODE/GM12878_H3K27me3_1.bam,../ENCODE/GM12878_H3K27me3_2.bam	../ENCODE/GM12878_H3K36me3_1.bam,../ENCODE/GM12878_H3K36me3_2.bam	../ENCODE/GM12878_H3K9me3_1.bam,../ENCODE/GM12878_H3K9me3_2.bam	config/supplementary_features/GM12878.tsv
HCT116	../ENCODE/HCT116_DNase_1.bam,../ENCODE/HCT116_DNase_2.bam		../ENCODE/HCT116_H3K27ac_1.bam,../ENCODE/HCT116_H3K27ac_2.bam	DHS						../ENCODE/HCT116_H3K4me1_1.bam	../ENCODE/HCT116_H3K4me3_1.bam	../ENCODE/HCT116_H3K27me3_1.bam	../ENCODE/HCT116_H3K36me3_1.bam	../ENCODE/HCT116_H3K9me3_1.bam	config/supplementary_features/HCT116.tsv
HeLaS3	../ENCODE/HeLaS3_DNase_1.bam,../ENCODE/HeLaS3_DNase_2.bam		../ENCODE/HeLaS3_H3K27ac_1.bam,../ENCODE/HeLaS3_H3K27ac_2.bam	DHS						../ENCODE/HeLaS3_H3K4me1_1.bam,../ENCODE/HeLaS3_H3K4me1_2.bam	../ENCODE/HeLaS3_H3K4me3_1.bam,../ENCODE/HeLaS3_H3K4me3_2.bam	../ENCODE/HeLaS3_H3K27me3_1.bam,../ENCODE/HeLaS3_H3K27me3_2.bam	../ENCODE/HeLaS3_H3K36me3_1.bam,../ENCODE/HeLaS3_H3K36me3_2.bam	../ENCODE/HeLaS3_H3K9me3_1.bam,../ENCODE/HeLaS3_H3K9me3_2.bam	config/supplementary_features/HeLaS3.tsv
HepG2	../ENCODE/HepG2_DNase_1.bam,../ENCODE/HepG2_DNase_2.bam		../ENCODE/HepG2_H3K27ac_1.bam,../ENCODE/HepG2_H3K27ac_2.bam	DHS	../ENCODE/HepG2_HiC.hic	hic	5000			../ENCODE/HepG2_H3K4me1_1.bam,../ENCODE/HepG2_H3K4me1_2.bam	../ENCODE/HepG2_H3K4me3_1.bam,../ENCODE/HepG2_H3K4me3_2.bam	../ENCODE/HepG2_H3K27me3_1.bam,../ENCODE/HepG2_H3K27me3_2.bam	../ENCODE/HepG2_H3K36me3_1.bam,../ENCODE/HepG2_H3K36me3_2.bam	../ENCODE/HepG2_H3K9me3_1.bam,../ENCODE/HepG2_H3K9me3_2.bam	config/supplementary_features/HepG2.tsv
HMEC	../ENCODE/HMEC_DNase_1.bam,../ENCODE/HMEC_DNase_2.bam		../ENCODE/HMEC_H3K27ac_1.bam,../ENCODE/HMEC_H3K27ac_2.bam	DHS	../ENCODE/HMEC_HiC.hic	hic	5000			../ENCODE/HMEC_H3K4me1_1.bam,../ENCODE/HMEC_H3K4me1_2.bam	../ENCODE/HMEC_H3K4me3_1.bam,../ENCODE/HMEC_H3K4me3_2.bam	../ENCODE/HMEC_H3K27me3_1.bam,../ENCODE/HMEC_H3K27me3_2.bam	../ENCODE/HMEC_H3K36me3_1.bam,../ENCODE/HMEC_H3K36me3_2.bam	../ENCODE/HMEC_H3K9me3_1.bam,../ENCODE/HMEC_H3K9me3_2.bam	config/supplementary_features/HMEC.tsv
HUVEC	../ENCODE/HUVEC_DNase_1.bam,../ENCODE/HUVEC_DNase_2.bam		../ENCODE/HUVEC_H3K27ac_1.bam,../ENCODE/HUVEC_H3K27ac_2.bam	DHS	../ENCODE/HUVEC_HiC.hic	hic	5000			../ENCODE/HUVEC_H3K4me1_1.bam,../ENCODE/HUVEC_H3K4me1_2.bam	../ENCODE/HUVEC_H3K4me3_1.bam,../ENCODE/HUVEC_H3K4me3_2.bam	../ENCODE/HUVEC_H3K27me3_1.bam,../ENCODE/HUVEC_H3K27me3_2.bam	../ENCODE/HUVEC_H3K36me3_1.bam,../ENCODE/HUVEC_H3K36me3_2.bam	../ENCODE/HUVEC_H3K9me3_1.bam,../ENCODE/HUVEC_H3K9me3_2.bam	config/supplementary_features/HUVEC.tsv
MCF7	../ENCODE/MCF7_DNase_1.bam,../ENCODE/MCF7_DNase_2.bam		../ENCODE/MCF7_H3K27ac_1.bam,../ENCODE/MCF7_H3K27ac_2.bam	DHS	../ENCODE/MCF7_HiC.hic	hic	5000			../ENCODE/MCF7_H3K4me1_1.bam,../ENCODE/MCF7_H3K4me1_2.bam	../ENCODE/MCF7_H3K4me3_1.bam,../ENCODE/MCF7_H3K4me3_2.bam	../ENCODE/MCF7_H3K27me3_1.bam,../ENCODE/MCF7_H3K27me3_2.bam	../ENCODE/MCF7_H3K36me3_1.bam,../ENCODE/MCF7_H3K36me3_2.bam	../ENCODE/MCF7_H3K9me3_1.bam,../ENCODE/MCF7_H3K9me3_2.bam	config/supplementary_features/MCF7.tsv
NHEK	../ENCODE/NHEK_DNase_1.bam,../ENCODE/NHEK_DNase_2.bam		../ENCODE/NHEK_H3K27ac_1.bam,../ENCODE/NHEK_H3K27ac_2.bam	DHS	../ENCODE/NHEK_HiC.hic	hic	5000			../ENCODE/NHEK_H3K4me1_1.bam,../ENCODE/NHEK_H3K4me1_2.bam	../ENCODE/NHEK_H3K4me3_1.bam,../ENCODE/NHEK_H3K4me3_2.bam	../ENCODE/NHEK_H3K27me3_1.bam,../ENCODE/NHEK_H3K27me3_2.bam	../ENCODE/NHEK_H3K36me3_1.bam,../ENCODE/NHEK_H3K36me3_2.bam	../ENCODE/NHEK_H3K9me3_1.bam,../ENCODE/NHEK_H3K9me3_2.bam	config/supplementary_features/NHEK.tsv
HCT116_BRD4_ctrl		../ENCODE/HCT116_BRD4_ctrl_ATAC_1.bam,../ENCODE/HCT116_BRD4_ctrl_ATAC_2.bam	../ENCODE/HCT116_BRD4_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_BRD4_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_BRD4_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_BRD4_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_BRD4_ctrl.tsv
HCT116_BRD4_auxin		../ENCODE/HCT116_BRD4_auxin_ATAC_1.bam,../ENCODE/HCT116_BRD4_auxin_ATAC_2.bam	../ENCODE/HCT116_BRD4_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_BRD4_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_BRD4_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_BRD4_auxin.tsv
HCT116_CDK7_ctrl		../ENCODE/HCT116_CDK7_ctrl_ATAC_1.bam,../ENCODE/HCT116_CDK7_ctrl_ATAC_2.bam	../ENCODE/HCT116_CDK7_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CDK7_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_CDK7_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CDK7_ctrl.tsv
HCT116_CDK7_auxin		../ENCODE/HCT116_CDK7_auxin_ATAC_1.bam,../ENCODE/HCT116_CDK7_auxin_ATAC_2.bam	../ENCODE/HCT116_CDK7_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CDK7_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_CDK7_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CDK7_auxin.tsv
HCT116_CTCF_ctrl		../ENCODE/HCT116_CTCF_ctrl_ATAC_1.bam,../ENCODE/HCT116_CTCF_ctrl_ATAC_2.bam	../ENCODE/HCT116_CTCF_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CTCF_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_CTCF_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CTCF_ctrl.tsv
HCT116_CTCF_auxin		../ENCODE/HCT116_CTCF_auxin_ATAC_1.bam,../ENCODE/HCT116_CTCF_auxin_ATAC_2.bam	../ENCODE/HCT116_CTCF_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CTCF_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_CTCF_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CTCF_auxin.tsv
HCT116_MED14_ctrl		../ENCODE/HCT116_MED14_ctrl_ATAC_1.bam,../ENCODE/HCT116_MED14_ctrl_ATAC_2.bam	../ENCODE/HCT116_MED14_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_MED14_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_MED14_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_MED14_ctrl_H3K4me3_MintChIP_1.bam		../ENCODE/HCT116_MED14_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_MED14_ctrl.tsv
HCT116_MED14_auxin		../ENCODE/HCT116_MED14_auxin_ATAC_1.bam,../ENCODE/HCT116_MED14_auxin_ATAC_2.bam	../ENCODE/HCT116_MED14_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_MED14_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_MED14_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_MED14_auxin.tsv
HCT116_POLR2A_ctrl		../ENCODE/HCT116_POLR2A_ctrl_ATAC_1.bam,../ENCODE/HCT116_POLR2A_ctrl_ATAC_2.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_POLR2A_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_POLR2A_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_POLR2A_ctrl.tsv
HCT116_POLR2A_auxin		../ENCODE/HCT116_POLR2A_auxin_ATAC_1.bam,../ENCODE/HCT116_POLR2A_auxin_ATAC_2.bam	../ENCODE/HCT116_POLR2A_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_POLR2A_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_POLR2A_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_POLR2A_auxin.tsv
HCT116_RAD21_ctrl		../ENCODE/HCT116_RAD21_ctrl_ATAC_1.bam,../ENCODE/HCT116_RAD21_ctrl_ATAC_2.bam	../ENCODE/HCT116_RAD21_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_RAD21_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_RAD21_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_RAD21_ctrl.tsv
HCT116_RAD21_auxin		../ENCODE/HCT116_RAD21_auxin_ATAC_1.bam,../ENCODE/HCT116_RAD21_auxin_ATAC_2.bam	../ENCODE/HCT116_RAD21_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_RAD21_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_RAD21_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_RAD21_auxin.tsv
HCT116_SMARCA5_ctrl		../ENCODE/HCT116_SMARCA5_ctrl_ATAC_1.bam,../ENCODE/HCT116_SMARCA5_ctrl_ATAC_2.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SMARCA5_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_SMARCA5_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SMARCA5_ctrl.tsv
HCT116_SMARCA5_auxin		../ENCODE/HCT116_SMARCA5_auxin_ATAC_1.bam,../ENCODE/HCT116_SMARCA5_auxin_ATAC_2.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SMARCA5_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_SMARCA5_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SMARCA5_auxin.tsv
HCT116_SUPT16H_ctrl		../ENCODE/HCT116_SUPT16H_ctrl_ATAC_1.bam,../ENCODE/HCT116_SUPT16H_ctrl_ATAC_2.bam	../ENCODE/HCT116_SUPT16H_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SUPT16H_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_SUPT16H_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SUPT16H_ctrl_H3K4me3_MintChIP_1.bam			../ENCODE/HCT116_SUPT16H_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SUPT16H_ctrl.tsv
HCT116_SUPT16H_auxin		../ENCODE/HCT116_SUPT16H_auxin_ATAC_1.bam,../ENCODE/HCT116_SUPT16H_auxin_ATAC_2.bam	../ENCODE/HCT116_SUPT16H_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SUPT16H_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_SUPT16H_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SUPT16H_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_SUPT16H_auxin_H3K27me3_MintChIP_1.bam		../ENCODE/HCT116_SUPT16H_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SUPT16H_auxin.tsv
